seção,item_original,nome_normalizado,preço_texto,average_cost_sugerido,cost_category_sugerida,affects_cmv_sugerido,affects_average_cost_sugerido,status_preço,observação
COZINHA CENTRAL - ESPETOS,ESPETO CORAÇÃO,espeto coracao,"R$ 5,90",5.9,cmv,True,True,OK,
COZINHA CENTRAL - ESPETOS,ESPETO DE BABY BEEF,espeto de baby beef,"R$ 12,00",12.0,cmv,True,True,OK,
COZINHA CENTRAL - ESPETOS,ESPETO FRANGO,espeto frango,"R$ 4,14",4.14,cmv,True,True,OK,
COZINHA CENTRAL - ESPETOS,ESPETO KAFTA C/ QUEIJO,espeto kafta c queijo,"R$ 8,83",8.83,cmv,True,True,OK,
COZINHA CENTRAL - ESPETOS,ESPETO LINGUIÇA MINEIRA,espeto linguica mineira,"R$ 5,12",5.12,cmv,True,True,OK,
COZINHA CENTRAL - ESPETOS,ESPETO MISTO,espeto misto,"R$ 5,62",5.62,cmv,True,True,OK,
COZINHA CENTRAL - ESPETOS,ESPETO QUEIJO COALHO,espeto queijo coalho,"R$ 28,95",28.95,cmv,True,True,OK,
COZINHA CENTRAL - ESPETOS,ESPETO SALSICHÃO,espeto salsichao,"R$ 2,84",2.84,cmv,True,True,OK,
COZINHA CENTRAL - ESPETOS,ESPETO SUÍNO,espeto suino,"R$ 5,04",5.04,cmv,True,True,OK,
COZINHA CENTRAL - ESPETOS,ESPETO VEGETARIANO,espeto vegetariano,"R$ 4,92",4.92,cmv,True,True,OK,
COZINHA CENTRAL - ESPETOS,QUEIJO COALHO FESTIVAL,queijo coalho festival,"R$ 2,45",2.45,cmv,True,True,OK,
COZINHA CENTRAL - PROTEÍNAS,CHORIZO,chorizo,"R$ 32,87",32.87,cmv,True,True,OK,
COZINHA CENTRAL - PROTEÍNAS,COSTELA,costela,"R$ 51,65",51.65,cmv,True,True,OK,
COZINHA CENTRAL - PROTEÍNAS,COSTELINHA SUÍNA,costelinha suina,"R$ 35,98",35.98,cmv,True,True,OK,
COZINHA CENTRAL - PROTEÍNAS,"FILÉ MIGNON EXECUTIVO - 0,18KG",file mignon executivo 0 18kg,"R$ 18,83",18.83,cmv,True,True,OK,
COZINHA CENTRAL - PROTEÍNAS,"FILÉ MIGNON REFEIÇÃO - 0,55KG 5 uni",file mignon refeicao 0 55kg 5 uni,"R$ 51,84",51.84,cmv,True,True,OK,
COZINHA CENTRAL - PROTEÍNAS,GALETO +/- 1KG,galeto 1kg,"R$ 15,09",15.09,cmv,True,True,OK,
COZINHA CENTRAL - PROTEÍNAS,"HAMBÚRGUER BOV150g WESSEL 6,3kg CX42u",hamburguer bov150g wessel 6 3kg cx42u,"R$ 5,67",5.67,cmv,True,True,OK,
COZINHA CENTRAL - PROTEÍNAS,"PICANHA EXECUTIVO - 0,16KG",picanha executivo 0 16kg,"R$ 21,58",21.58,cmv,True,True,OK,
COZINHA CENTRAL - PROTEÍNAS,"PICANHA FATIADA - 0,65KG 5 uni",picanha fatiada 0 65kg 5 uni,"R$ 85,78",85.78,cmv,True,True,OK,
COZINHA CENTRAL - PROTEÍNAS,"TÁBUA CORAÇÃO DE ALCATRA - 0,25KG 3uni",tabua coracao de alcatra 0 25kg 3uni,"R$ 18,98",18.98,cmv,True,True,OK,
COZINHA CENTRAL - ENTRADAS,LINGUIÇA DE PERNIL PEQUENA C/10 UN,linguica de pernil pequena c 10 un,"R$ 21,32",21.32,cmv,True,True,OK,
COZINHA CENTRAL - ENTRADAS,LINGUIÇA PROVOLONE ROLO,linguica provolone rolo,"R$ 19,08",19.08,cmv,True,True,OK,
COZINHA CENTRAL - ENTRADAS,LINGUIÇA TOSCANA NABRASA 160GR- C/7 UN,linguica toscana nabrasa 160gr c 7 un,"R$ 33,33",33.33,cmv,True,True,OK,
COZINHA CENTRAL - ENTRADAS,MEIO PÃO DE ALHO,meio pao de alho,"R$ 1,22",1.22,cmv,True,True,OK,
COZINHA CENTRAL - ENTRADAS,PALMITO,palmito,"R$ 27,60",27.6,cmv,True,True,OK,
COZINHA CENTRAL - ENTRADAS,PASTEL GRANDE CAMARÃO - 2UN,pastel grande camarao 2un,"R$ 8,87",8.87,cmv,True,True,OK,
COZINHA CENTRAL - ENTRADAS,PASTEL GRANDE CATUPIRY - 2UN,pastel grande catupiry 2un,"R$ 5,10",5.1,cmv,True,True,OK,
COZINHA CENTRAL - ENTRADAS,PASTEL GRANDE COSTELA - 2UN,pastel grande costela 2un,"R$ 6,18",6.18,cmv,True,True,OK,
COZINHA CENTRAL - ENTRADAS,PÃO DE ALHO,pao de alho,"R$ 2,92",2.92,cmv,True,True,OK,
COZINHA CENTRAL - LANCHES,"BACON DEF TIRAS (HAMBÚRGUER) - 0,25KG",bacon def tiras hamburguer 0 25kg,"R$ 13,84",13.84,cmv,True,True,OK,
COZINHA CENTRAL - LANCHES,MAIONESE TEMPERADA,maionese temperada,"R$ 2,69",2.69,cmv,True,True,OK,
COZINHA CENTRAL - LANCHES,CEBOLA CARAMELIZADA SPICY,cebola caramelizada spicy,"R$ 2,87",2.87,cmv,True,True,OK,
COZINHA CENTRAL - LANCHES,PÃO BRIOCHE TRAD HB 48UN GERG. MESCLADO,pao brioche trad hb 48un gerg mesclado,"R$ 1,65",1.65,cmv,True,True,OK,
COZINHA CENTRAL - LANCHES,QUEIJO CHEDDAR VIGOR MOLHO,queijo cheddar vigor molho,"R$ 47,90",47.9,cmv,True,True,OK,
COZINHA CENTRAL - LANCHES,"KETCHUP 1,033kg Heinz",ketchup 1 033kg heinz,"R$ 18,25",18.25,cmv,True,True,OK,
