item_id,nome_item,unidade,observacao_unidade,categoria_original,setor_formulario,bloco_visual,ativo,grupo_final,macro_regra,average_cost,active_bool
INS001,Espeto de Baby Beef,un,,COZINHA CENTRAL - ESPETOS,Cozinha,Espetos,sim,Cozinha,Regra 2: setor_formulario = Cozinha,0,True
INS002,Espeto de Coração,un,,COZINHA CENTRAL - ESPETOS,Cozinha,Espetos,sim,Cozinha,Regra 2: setor_formulario = Cozinha,0,True
INS003,Espeto de Frango,un,,COZINHA CENTRAL - ESPETOS,Cozinha,Espetos,sim,Cozinha,Regra 2: setor_formulario = Cozinha,0,True
INS004,Espeto de Kafta Recheada,un,,COZINHA CENTRAL - ESPETOS,Cozinha,Espetos,sim,Cozinha,Regra 2: setor_formulario = Cozinha,0,True
INS005,Espeto de Linguiça Mineira,un,,COZINHA CENTRAL - ESPETOS,Cozinha,Espetos,sim,Cozinha,Regra 2: setor_formulario = Cozinha,0,True
INS006,Espeto Misto,un,,COZINHA CENTRAL - ESPETOS,Cozinha,Espetos,sim,Cozinha,Regra 2: setor_formulario = Cozinha,0,True
INS007,Espeto de Queijo Coalho,un,,COZINHA CENTRAL - ESPETOS,Cozinha,Espetos,sim,Cozinha,Regra 2: setor_formulario = Cozinha,0,True
INS008,Espeto de Salsichão,un,,COZINHA CENTRAL - ESPETOS,Cozinha,Espetos,sim,Cozinha,Regra 2: setor_formulario = Cozinha,0,True
INS009,Espeto de Suíno,un,,COZINHA CENTRAL - ESPETOS,Cozinha,Espetos,sim,Cozinha,Regra 2: setor_formulario = Cozinha,0,True
INS010,Espeto Vegetariano,un,,COZINHA CENTRAL - ESPETOS,Cozinha,Espetos,sim,Cozinha,Regra 2: setor_formulario = Cozinha,0,True
INS011,Queijo Coalho Festival,un,,COZINHA CENTRAL - ESPETOS,Cozinha,Espetos,sim,Cozinha,Regra 2: setor_formulario = Cozinha,0,True
INS012,Costela Bovina,un,item por peça,COZINHA CENTRAL - PROTEÍNAS,Cozinha,Proteínas e Entradas,sim,Cozinha,Regra 2: setor_formulario = Cozinha,0,True
