item_sistema_id,item_sistema_nome,item_sistema_unidade,item_csv_nome_sugerido,score,average_cost_sugerido,cost_category_sugerida,affects_cmv_sugerido,affects_average_cost_sugerido,acao_manual,observacao
"a58939f5-0854-4f1e-9a85-e01132ef1859","Espeto de Coração","un","ESPETO CORAÇÃO","89.7%","5.9","cmv","true","true","","Aguardando revisão manual"
"fe2bb986-c4c7-41c4-bba1-6b3349befda2","Espeto de Frango","un","ESPETO FRANGO","88.9%","4.14","cmv","true","true","","Aguardando revisão manual"
"d0a05e53-439b-4ecd-9774-83fae83db6c6","Espeto de Queijo Coalho","un","ESPETO KAFTA C/ QUEIJO","61.9%","8.83","cmv","true","true","","Ignorado por score baixo"
"64117870-e3c9-405a-9e5e-fe07073b2ff7","Espeto de Salsichão","un","ESPETO SALSICHÃO","90.9%","2.84","cmv","true","true","","Aguardando revisão manual"
"d6eed06f-834e-4985-ae43-bc62c2910ef1","Espeto de Suíno","un","ESPETO SUÍNO","88.0%","5.04","cmv","true","true","","Aguardando revisão manual"
"633442b5-4707-4299-91e4-b424323fd4cc","Bife de Chorizo","un","CHORIZO","63.2%","32.87","cmv","true","true","","Ignorado por score baixo"
"1c20ddf6-f226-423d-a4f8-0c7d14bb8668","Stella","un","COSTELA","72.7%","51.65","cmv","true","true","","Ignorado por score baixo"
"fe129252-fa90-48c4-bd64-b8db3f1706a6","Mignon Executivo","un","FILÉ MIGNON EXECUTIVO - 0,18KG","69.8%","18.83","cmv","true","true","","Ignorado por score baixo"
"1b4bc3f8-2d93-4e6a-aeb5-9c356fb2c867","Mignon Refeição","un","FILÉ MIGNON REFEIÇÃO - 0,55KG 5 uni","60.9%","51.84","cmv","true","true","","Ignorado por score baixo"
"9009e894-8d0d-4d4f-b6b1-2983aad229c8","Galeto","un","GALETO +/- 1KG","66.7%","15.09","cmv","true","true","","Ignorado por score baixo"
"3984530e-39bf-43c2-9b34-17e14067e9f8","Hambúrguer de Costela","un","HAMBÚRGUER BOV150g WESSEL 6,3kg CX42u","43.6%","5.67","cmv","true","true","","Ignorado por score baixo"
"7a40502c-2bc6-49a3-ae7d-5a57a9f96cd3","Picanha Executiva","un","PICANHA EXECUTIVO - 0,16KG","75.0%","21.58","cmv","true","true","","Ignorado por score baixo"
"7a40502c-2bc6-49a3-ae7d-5a57a9f96cd3","Picanha Executiva","un","PICANHA FATIADA - 0,65KG 5 uni","37.2%","85.78","cmv","true","true","","Ignorado por score baixo"
"c28c3bbc-16c2-4f9d-912c-e4ec4129de24","Tábua Coração de Alcatra","un","TÁBUA CORAÇÃO DE ALCATRA - 0,25KG 3uni","77.8%","18.98","cmv","true","true","","Ignorado por score baixo"
