id_sistema,item_sistema,item_csv_sugerido,score,preco_csv,custo_final_manual,observacao
"103c8bd6-d7da-4ea6-b08d-cb2073d9a316","Pastel de Camarão","MATE LEÃO DA CASA 1KG","45.7%","47.6","","REVISAR VOLUME/MARCA"
"3f59ffcd-c0fd-430c-8f13-4911c322c46a","Tomate","TOMATE SALADA","58.8%","6.95","","REVISAR VOLUME/MARCA"
"890f0d52-3bb7-40f9-ab70-276ebede4bd5","Chopp Barril 50L","Chopp Brahma Claro 50L Barril","73.2%","710","","REVISAR VOLUME/MARCA"
"f1b984b2-6a84-4841-a4cc-c44f03bb8271","Heineken Zero","Cerv Heineken Pils 12x473ml","47.4%","6.63","","REVISAR VOLUME/MARCA"
"f1b984b2-6a84-4841-a4cc-c44f03bb8271","Heineken Zero","Cerv Heineken 0.0% LN 330ml","51.4%","5.94","","REVISAR VOLUME/MARCA"
"c28c6148-4c28-4fc0-b91e-8f3d322f9e3b","Coca Lata Zero","Coca-Cola Zero Lata 350ml","75.0%","3.01","","REVISAR VOLUME/MARCA"
"103c3599-0e0b-4d2b-85ae-b7c72c870fe0","Coca Lata","Coca-Cola Lata 350ml","69.6%","3.02","","REVISAR VOLUME/MARCA"
"636885f0-4ac7-45bf-a4d8-a20bd4a1817a","Coca 1,5L","Coca-Cola Original PET 1,5L","50.0%","7.05","","REVISAR VOLUME/MARCA"
"561ebfe5-35ab-4826-b66f-033925b4a5eb","Coca 1,5L Zero","Coca-Cola zero PET 1,5L","72.7%","7.04","","REVISAR VOLUME/MARCA"
"103c3599-0e0b-4d2b-85ae-b7c72c870fe0","Coca Lata","Sprit Lata 350ml","43.5%","2.75","","REVISAR VOLUME/MARCA"
"77d994ad-a9be-429b-a86c-1ef0b1729f1b","Fanta Uva","Fanta Uva Lata 350ml","66.7%","2.75","","REVISAR VOLUME/MARCA"
"14e15f8c-4429-4f5b-ba13-37ba8436822c","Fanta Laranja","Fanta Laranja Lata 350ml","78.6%","2.75","","REVISAR VOLUME/MARCA"
"5853a9d5-5c06-4e0c-85b6-610d868b51c0","Ice Tea Limão","Ice Tea Limão PET 300ml CX12","61.5%","2.99","","REVISAR VOLUME/MARCA"
"b8f00f65-ab8a-4e54-b4a9-898f6b2f1325","Ice Tea Pêssego","Ice Tea Pêssego PET 300ml CX12","68.3%","2.99","","REVISAR VOLUME/MARCA"
"64286d5a-e1b0-4495-aa83-6a7fb4c96a2c","Red Bull","Red Bull Lata 250ml SixPack","43.8%","5.54","","REVISAR VOLUME/MARCA"
"2f69064b-7ac0-4428-bc34-3bca3bff3a79","Hocus Pocus Orange","Hocus Pocus Orange Sunshine GFA 500ml CX6","54.2%","12.5","","REVISAR VOLUME/MARCA"
"ea7bbcdc-3758-4435-83db-9ef7b7a3f189","Hocus Pocus Magic","Hocus Pocus Magic 500 ml cx 6","68.6%","9.38","","REVISAR VOLUME/MARCA"
"9b2c725d-bf41-40d3-952a-748b376c7591","Linguiça Caracol Provolone","Stella Artois Long Neck 330ml SixPack SH4","26.7%","5.84","","REVISAR VOLUME/MARCA"
"6f9cd0c0-1ddd-4dc9-808f-c4300fbbe966","Stella Pure Gold","Stella Artois Pure Gold LN 330ml SP SH4","57.7%","6.18","","REVISAR VOLUME/MARCA"
"bdd34e09-27e2-4efe-83ad-4753c73e7f53","Batata Calabresa","MALZIBIER BRAHMA lata 350ml c/12","33.3%","4.59","","REVISAR VOLUME/MARCA"
"dc165583-bef4-4e99-8469-63b59b74ef71","Master Cloro Garrafa 1L","Absolut Original Garrafa 1L","45.8%","54.78","","REVISAR VOLUME/MARCA"
"7167badb-a529-43b8-b6ed-615ec5597ead","Aperitivo Aperol 750ml","Aperol 750ml","75.9%","43.95","","REVISAR VOLUME/MARCA"
"7167badb-a529-43b8-b6ed-615ec5597ead","Aperitivo Aperol 750ml","Zanella Merlot Vinho tinto 750ml","34.0%","82.5","","REVISAR VOLUME/MARCA"
"03bef5e6-1f06-4fa3-835a-85c00a303884","Costela Bovina","Zanella Chardonnay Vinho branco 750ml","34.0%","89","","REVISAR VOLUME/MARCA"
"9272ed99-bcd4-4fd3-8445-852a223b4df4","Cachaça Da Quinta","Da quinta - Cachaça 500ml","75.0%","78.72","","REVISAR VOLUME/MARCA"
"a1615281-16f5-4124-b0fd-a786522d5bf0","Cachaça Werneck","Werneck - Cachaça 750ml","71.0%","98.9","","REVISAR VOLUME/MARCA"
"c5d55b73-176c-4346-8004-57db558d8ff2","Vodka Smirnoff","Smirnoff - Vodka 600ml","72.7%","36.3","","REVISAR VOLUME/MARCA"
"a184d8f7-e6a8-4857-bddd-c43d362cff26","Cachaça Salinas","Salinas imburana - Cachaça 1l","62.9%","69.18","","REVISAR VOLUME/MARCA"
"a184d8f7-e6a8-4857-bddd-c43d362cff26","Cachaça Salinas","Salinas Cristalina - Cachaça 1l","66.7%","19.9","","REVISAR VOLUME/MARCA"
"a184d8f7-e6a8-4857-bddd-c43d362cff26","Cachaça Salinas","Sagatiba - Cachaça 700ml","38.7%","21.9","","REVISAR VOLUME/MARCA"
"cefde562-fd16-4f9c-be7a-292893f17144","Cachaça Lua Nova","Lua Nova - Cachaça 1l","81.5%","48.07","","REVISAR VOLUME/MARCA"
"7c3c7c5f-81a5-43e2-9183-3f2f22a71874","Cachaça Charmosa de Minas","Charmosa de minas - Cachaça 980ml","84.4%","39.58","","REVISAR VOLUME/MARCA"
"1b942abd-0bcf-485f-8cb9-3e02fb58fa9a","Cachaça 51","51 - Cachaça 965lm","57.1%","18","","REVISAR VOLUME/MARCA"
"f53a12e9-d0ee-40cb-a4f8-8b2ea64fb1fc","Cachaça Seleta","Seleta - Cachaça 1l","80.0%","49.97","","REVISAR VOLUME/MARCA"
"3a2ceeea-5bfd-4da6-88f9-f71d66bb53f5","Licor 43","Licor 43 700ml","70.0%","134.3","","REVISAR VOLUME/MARCA"
"6b585fbb-3945-47c5-a05e-217ea1d3d948","Louro Saquinho","Surrender Vinho Cabernet Sauvignon/Merlot 3L","30.8%","3.76","","REVISAR VOLUME/MARCA"
